Time,	1.1_Topic 1.1,	1.1_RawVal,	1.1_Scale_Factor,	1.1_ScaledVal,	1.2Topic 1.2,	1.2_RawVal,	1.2_Scale_Factor,	1.2_ScaledVal,	2.1_Topic 2.1,	2.1_RawVal,	2.1_Scale_Factor,	2.1_ScaledVal,	2.2_Topic 2.2,	2.2_RawVal,	2.2_Scale_Factor,	2.2_ScaledVal,
1652372775082,	Topic 1.1,	2949163,	2,	5898326.0,	Topic 1.2,	2752558,	1,	2752558.0,	Topic 2.1,	2949163,	0.5,	1474581.5,	Topic 2.2,	2752558,	1.5,	4128837.0,	
1652372775182,	Topic 1.1,	3014698,	2,	6029396.0,	Topic 1.2,	3014698,	1,	3014698.0,	Topic 2.1,	3014698,	0.5,	1507349.0,	Topic 2.2,	3014698,	1.5,	4522047.0,	
1652372775284,	Topic 1.1,	2752557,	2,	5505114.0,	Topic 1.2,	2752557,	1,	2752557.0,	Topic 2.1,	2752557,	0.5,	1376278.5,	Topic 2.2,	2752557,	1.5,	4128835.5,	
1652372775385,	Topic 1.1,	2949166,	2,	5898332.0,	Topic 1.2,	2752555,	1,	2752555.0,	Topic 2.1,	2949166,	0.5,	1474583.0,	Topic 2.2,	2752555,	1.5,	4128832.5,	
1652372775486,	Topic 1.1,	3080240,	2,	6160480.0,	Topic 1.2,	2818094,	1,	2818094.0,	Topic 2.1,	3080240,	0.5,	1540120.0,	Topic 2.2,	2818094,	1.5,	4227141.0,	
1652372775587,	Topic 1.1,	2883627,	2,	5767254.0,	Topic 1.2,	2752556,	1,	2752556.0,	Topic 2.1,	2883627,	0.5,	1441813.5,	Topic 2.2,	2752556,	1.5,	4128834.0,	
1652372775689,	Topic 1.1,	3014701,	2,	6029402.0,	Topic 1.2,	3080237,	1,	3080237.0,	Topic 2.1,	3014701,	0.5,	1507350.5,	Topic 2.2,	3080237,	1.5,	4620355.5,	
1652372775789,	Topic 1.1,	2687019,	2,	5374038.0,	Topic 1.2,	3014705,	1,	3014705.0,	Topic 2.1,	2687019,	0.5,	1343509.5,	Topic 2.2,	3014705,	1.5,	4522057.5,	
1652372775891,	Topic 1.1,	3080237,	2,	6160474.0,	Topic 1.2,	2949161,	1,	2949161.0,	Topic 2.1,	3080237,	0.5,	1540118.5,	Topic 2.2,	2949161,	1.5,	4423741.5,	
1652372775993,	Topic 1.1,	3145771,	2,	6291542.0,	Topic 1.2,	3014704,	1,	3014704.0,	Topic 2.1,	3145771,	0.5,	1572885.5,	Topic 2.2,	3014704,	1.5,	4522056.0,	
1652372776094,	Topic 1.1,	3014698,	2,	6029396.0,	Topic 1.2,	2949166,	1,	2949166.0,	Topic 2.1,	3014698,	0.5,	1507349.0,	Topic 2.2,	2949166,	1.5,	4423749.0,	
1652372776195,	Topic 1.1,	3014702,	2,	6029404.0,	Topic 1.2,	2949165,	1,	2949165.0,	Topic 2.1,	3014702,	0.5,	1507351.0,	Topic 2.2,	2949165,	1.5,	4423747.5,	
1652372776296,	Topic 1.1,	2949165,	2,	5898330.0,	Topic 1.2,	3080239,	1,	3080239.0,	Topic 2.1,	2949165,	0.5,	1474582.5,	Topic 2.2,	3080239,	1.5,	4620358.5,	
1652372776398,	Topic 1.1,	2949167,	2,	5898334.0,	Topic 1.2,	2818095,	1,	2818095.0,	Topic 2.1,	2949167,	0.5,	1474583.5,	Topic 2.2,	2818095,	1.5,	4227142.5,	
1652372776508,	Topic 1.1,	2883628,	2,	5767256.0,	Topic 1.2,	2818092,	1,	2818092.0,	Topic 2.1,	2883628,	0.5,	1441814.0,	Topic 2.2,	2818092,	1.5,	4227138.0,	
1652372776609,	Topic 1.1,	2818096,	2,	5636192.0,	Topic 1.2,	3080237,	1,	3080237.0,	Topic 2.1,	2818096,	0.5,	1409048.0,	Topic 2.2,	3080237,	1.5,	4620355.5,	
1652372776711,	Topic 1.1,	3014699,	2,	6029398.0,	Topic 1.2,	2949166,	1,	2949166.0,	Topic 2.1,	3014699,	0.5,	1507349.5,	Topic 2.2,	2949166,	1.5,	4423749.0,	
1652372776812,	Topic 1.1,	3014702,	2,	6029404.0,	Topic 1.2,	2818092,	1,	2818092.0,	Topic 2.1,	3014702,	0.5,	1507351.0,	Topic 2.2,	2818092,	1.5,	4227138.0,	
1652372776913,	Topic 1.1,	3080239,	2,	6160478.0,	Topic 1.2,	2949165,	1,	2949165.0,	Topic 2.1,	3080239,	0.5,	1540119.5,	Topic 2.2,	2949165,	1.5,	4423747.5,	
1652372777014,	Topic 1.1,	3014703,	2,	6029406.0,	Topic 1.2,	2752558,	1,	2752558.0,	Topic 2.1,	3014703,	0.5,	1507351.5,	Topic 2.2,	2752558,	1.5,	4128837.0,	
1652372777116,	Topic 1.1,	3014703,	2,	6029406.0,	Topic 1.2,	3014700,	1,	3014700.0,	Topic 2.1,	3014703,	0.5,	1507351.5,	Topic 2.2,	3014700,	1.5,	4522050.0,	
1652372777217,	Topic 1.1,	2949165,	2,	5898330.0,	Topic 1.2,	2818091,	1,	2818091.0,	Topic 2.1,	2949165,	0.5,	1474582.5,	Topic 2.2,	2818091,	1.5,	4227136.5,	
1652372777319,	Topic 1.1,	2687021,	2,	5374042.0,	Topic 1.2,	3080233,	1,	3080233.0,	Topic 2.1,	2687021,	0.5,	1343510.5,	Topic 2.2,	3080233,	1.5,	4620349.5,	
1652372777419,	Topic 1.1,	2883629,	2,	5767258.0,	Topic 1.2,	3014699,	1,	3014699.0,	Topic 2.1,	2883629,	0.5,	1441814.5,	Topic 2.2,	3014699,	1.5,	4522048.5,	
1652372777521,	Topic 1.1,	2752559,	2,	5505118.0,	Topic 1.2,	2883629,	1,	2883629.0,	Topic 2.1,	2752559,	0.5,	1376279.5,	Topic 2.2,	2883629,	1.5,	4325443.5,	
1652372777622,	Topic 1.1,	3080236,	2,	6160472.0,	Topic 1.2,	2949165,	1,	2949165.0,	Topic 2.1,	3080236,	0.5,	1540118.0,	Topic 2.2,	2949165,	1.5,	4423747.5,	
1652372777723,	Topic 1.1,	2949164,	2,	5898328.0,	Topic 1.2,	2818094,	1,	2818094.0,	Topic 2.1,	2949164,	0.5,	1474582.0,	Topic 2.2,	2818094,	1.5,	4227141.0,	
1652372777825,	Topic 1.1,	3014705,	2,	6029410.0,	Topic 1.2,	3211312,	1,	3211312.0,	Topic 2.1,	3014705,	0.5,	1507352.5,	Topic 2.2,	3211312,	1.5,	4816968.0,	
1652372777926,	Topic 1.1,	3014698,	2,	6029396.0,	Topic 1.2,	3080237,	1,	3080237.0,	Topic 2.1,	3014698,	0.5,	1507349.0,	Topic 2.2,	3080237,	1.5,	4620355.5,	
1652372778028,	Topic 1.1,	3014700,	2,	6029400.0,	Topic 1.2,	3080234,	1,	3080234.0,	Topic 2.1,	3014700,	0.5,	1507350.0,	Topic 2.2,	3080234,	1.5,	4620351.0,	
